"","team_logo_espn"
"1","https://a.espncdn.com/i/teamlogos/nfl/500/ari.png"
"2","https://a.espncdn.com/i/teamlogos/nfl/500/atl.png"
"3","https://a.espncdn.com/i/teamlogos/nfl/500/bal.png"
"4","https://a.espncdn.com/i/teamlogos/nfl/500/buf.png"
"5","https://a.espncdn.com/i/teamlogos/nfl/500-dark/car.png"
"6","https://a.espncdn.com/i/teamlogos/nfl/500/chi.png"
"7","https://a.espncdn.com/i/teamlogos/nfl/500/cin.png"
"8","https://a.espncdn.com/i/teamlogos/nfl/500/cle.png"
"9","https://a.espncdn.com/i/teamlogos/nfl/500/dal.png"
"10","https://a.espncdn.com/i/teamlogos/nfl/500/den.png"
"11","https://a.espncdn.com/i/teamlogos/nfl/500/det.png"
"12","https://a.espncdn.com/i/teamlogos/nfl/500/gb.png"
"13","https://a.espncdn.com/i/teamlogos/nfl/500/hou.png"
"14","https://a.espncdn.com/i/teamlogos/nfl/500/ind.png"
"15","https://a.espncdn.com/i/teamlogos/nfl/500/jax.png"
"16","https://a.espncdn.com/i/teamlogos/nfl/500/kc.png"
"17","https://a.espncdn.com/i/teamlogos/nfl/500/lar.png"
"18","https://a.espncdn.com/i/teamlogos/nfl/500/lac.png"
"19","https://a.espncdn.com/i/teamlogos/nfl/500/lar.png"
"20","https://a.espncdn.com/i/teamlogos/nfl/500/lv.png"
"21","https://a.espncdn.com/i/teamlogos/nfl/500/mia.png"
"22","https://a.espncdn.com/i/teamlogos/nfl/500/min.png"
"23","https://a.espncdn.com/i/teamlogos/nfl/500/ne.png"
"24","https://a.espncdn.com/i/teamlogos/nfl/500/no.png"
"25","https://a.espncdn.com/i/teamlogos/nfl/500/nyg.png"
"26","https://a.espncdn.com/i/teamlogos/nfl/500/nyj.png"
"27","https://a.espncdn.com/i/teamlogos/nfl/500/lv.png"
"28","https://a.espncdn.com/i/teamlogos/nfl/500/phi.png"
"29","https://a.espncdn.com/i/teamlogos/nfl/500/pit.png"
"30","https://a.espncdn.com/i/teamlogos/nfl/500/lac.png"
"31","https://a.espncdn.com/i/teamlogos/nfl/500/sea.png"
"32","https://a.espncdn.com/i/teamlogos/nfl/500/sf.png"
"33","https://a.espncdn.com/i/teamlogos/nfl/500/lar.png"
"34","https://a.espncdn.com/i/teamlogos/nfl/500/tb.png"
"35","https://a.espncdn.com/i/teamlogos/nfl/500/ten.png"
"36","https://a.espncdn.com/i/teamlogos/nfl/500/wsh.png"
