"","returnerId","kickerId","gameId","playId","playDescription","quarter","down","yardsToGo","possessionTeam","specialTeamsPlayType","specialTeamsResult","kickBlockerId","yardlineSide","yardlineNumber","gameClock","penaltyCodes","penaltyJerseyNumbers","penaltyYards","preSnapHomeScore","preSnapVisitorScore","passResult","kickLength","kickReturnYardage","playResult","absoluteYardlineNumber","height.x","weight.x","birthDate.x","collegeName.x","Position.x","kickerName","height.y","weight.y","birthDate.y","collegeName.y","Position.y","returnerName"
"1","29830",46810,2018110407,3171,"(10:26) T.Daniel punts 50 yards to DEN 22, Center-J.Weeks. A.Jones to DEN 27 for 5 yards (G.Howell).",4,4,3,"HOU","Punt","Return",NA,"HOU",28,10:26:00,NA,NA,NA,17,19,NA,50,5,45,38,"6-1",231,"12/08/1994","Tennessee","P","Trevor Daniel","5-10",185,"09/30/1983","West Virginia","CB","Adam Jones"
"2","29830",46810,2018110407,420,"(8:02) T.Daniel punts 43 yards to DEN 35, Center-J.Weeks. A.Jones to DEN 34 for -1 yards (B.Scarlett). PENALTY on HOU-A.Moore, Face Mask (15 Yards), 15 yards, enforced at DEN 34.",1,4,19,"HOU","Punt","Return",NA,"HOU",22,08:02:00,"FMM","HOU 33",-15,0,7,NA,43,0,29,88,"6-1",231,"12/08/1994","Tennessee","P","Trevor Daniel","5-10",185,"09/30/1983","West Virginia","CB","Adam Jones"
"3","29830",46242,2018091611,698,"(3:26) J.Townsend punts 56 yards to DEN 17, Center-T.Sieg. A.Jones to DEN 18 for 1 yard (D.Rodgers-Cromartie).",1,4,3,"OAK_LV","Punt","Return",NA,"OAK",27,03:26:00,NA,NA,NA,0,3,NA,56,1,55,37,"6-1",205,"1995-02-14","Florida","P","Johnny Townsend","5-10",185,"09/30/1983","West Virginia","CB","Adam Jones"
"4","29830",46810,2018110407,2301,"(12:06) T.Daniel punts 48 yards to DEN 22, Center-J.Weeks. A.Jones to DEN 19 for -3 yards (A.Moore).",3,4,3,"HOU","Punt","Return",NA,"HOU",30,12:06:00,NA,NA,NA,10,16,NA,48,-3,51,80,"6-1",231,"12/08/1994","Tennessee","P","Trevor Daniel","5-10",185,"09/30/1983","West Virginia","CB","Adam Jones"
"5","29830",46810,2018110407,3563,"(3:40) T.Daniel punts 61 yards to DEN 4, Center-J.Weeks. A.Jones to DEN 14 for 10 yards (J.Reid).",4,4,10,"HOU","Punt","Return",NA,"HOU",35,03:40:00,NA,NA,NA,17,19,NA,61,10,51,45,"6-1",231,"12/08/1994","Tennessee","P","Trevor Daniel","5-10",185,"09/30/1983","West Virginia","CB","Adam Jones"
"6","29830",29926,2018100100,1592,"(2:26) D.Colquitt punts 41 yards to DEN 22, Center-J.Winchester. A.Jones to DEN 24 for 2 yards (D.Harris; C.Ward).",2,4,20,"KC","Punt","Return",NA,"KC",37,02:26:00,NA,NA,NA,10,10,NA,41,2,39,73,"6-3",210,"1982-05-06","Tennessee","P","Dustin Colquitt","5-10",185,"09/30/1983","West Virginia","CB","Adam Jones"
"7","29830",43524,2018100706,1377,"(8:12) L.Edwards punts 43 yards to DEN 13, Center-T.Hennessy. A.Jones to DEN 14 for 1 yard (T.Cannon).",2,4,7,"NYJ","Punt","Return",NA,"NYJ",44,08:12:00,NA,NA,NA,14,7,NA,43,1,42,66,"6-4",209,"1992-04-27","Sam Houston State","P","Lachlan Edwards","5-10",185,"09/30/1983","West Virginia","CB","Adam Jones"
"8","29830",46810,2018110407,1701,"(2:00) T.Daniel punts 52 yards to DEN 10, Center-J.Weeks. A.Jones to DEN 10 for no gain (J.Keyes). PENALTY on DEN-S.Thomas, Illegal Blindside Block, 5 yards, enforced at DEN 10.",2,4,10,"HOU","Punt","Return",NA,"HOU",38,02:00:00,"IBB","DEN 38",5,10,13,NA,52,0,57,48,"6-1",231,"12/08/1994","Tennessee","P","Trevor Daniel","5-10",185,"09/30/1983","West Virginia","CB","Adam Jones"
"9","29957",40600,2018120300,1663,"(2:33) T.Way punts 44 yards to PHI 46, Center-N.Sundberg. D.Sproles to WAS 40 for 14 yards (D.Everett).",2,4,3,"WAS","Punt","Return",NA,"WAS",10,02:33:00,NA,NA,NA,7,10,NA,44,14,30,100,"6-1",220,"1990-04-18","Oklahoma","P","Tress Way","66",190,"1983-06-20","Kansas State","RB","Darren Sproles"
"10","29957",38815,2018121611,2359,"(11:23) J.Hekker punts 50 yards to PHI 41, Center-J.McQuaide, fair catch by D.Sproles.",3,4,6,"LA","Punt","Fair Catch",NA,"LA",9,11:23:00,NA,NA,NA,13,13,NA,50,NA,50,101,"6-5",241,"1990-02-08","Oregon State","P","Johnny Hekker","66",190,"1983-06-20","Kansas State","RB","Darren Sproles"
